Code,CountryName,Population,Density,LandArea,MedAge,UrbanPop
AFG,Afghanistan,38928346,60,652860,18,25
ALB,Albania,2877797,105,27400,36,63
DZA,Algeria,43851044,18,2381740,29,73
ASM,American Samoa,55191,276,200,19,88
AND,Andorra,77265,164,470,19,88
AGO,Angola,32866272,26,1246700,17,67
AIA,Anguilla,15003,167,90,19,57
ATG,Antigua and Barbuda,97929,223,440,34,26
ARG,Argentina,45195774,17,2736690,32,93
ARM,Armenia,2963243,104,28470,35,63
ABW,Aruba,106766,593,180,41,44
AUS,Australia,25499884,3,7682300,38,86
AUT,Austria,9006398,109,82409,43,57
AZE,Azerbaijan,10139177,123,82658,32,56
BHS,Bahamas,393244,39,10010,32,86
BHR,Bahrain,1701575,2239,760,32,89
BGD,Bangladesh,164689383,1265,130170,28,39
BRB,Barbados,287375,668,430,40,31
BLR,Belarus,9449323,47,202910,40,79
BEL,Belgium,11589623,383,30280,42,98
BLZ,Belize,397628,17,22810,25,46
BEN,Benin,12123200,108,112760,19,48
BMU,Bermuda,62278,1246,50,19,97
BTN,Bhutan,771608,20,38117,28,46
BOL,Bolivia,11673021,11,1083300,26,69
BIH,Bosnia and Herzegovina,3280819,64,51000,43,52
BWA,Botswana,2351627,4,566730,24,73
BRA,Brazil,212559417,25,8358140,33,88
VGB,British Virgin Islands,30231,202,150,19,52
BRN,Brunei,437479,83,5270,32,80
BGR,Bulgaria,6948445,64,108560,45,76
BFA,Burkina Faso,20903273,76,273600,18,31
BDI,Burundi,11890784,463,25680,17,14
CPV,Cabo Verde,555987,138,4030,28,68
KHM,Cambodia,16718965,95,176520,26,24
CMR,Cameroon,26545863,56,472710,19,56
CAN,Canada,37742154,4,9093510,41,81
ANT,Caribbean Netherlands,26223,80,328,19,75
CYM,Cayman Islands,65722,274,240,19,97
CAF,Central African Republic,4829767,8,622980,18,43
TCD,Chad,16425864,13,1259200,17,23
IMN,Channel Islands,173863,915,190,43,30
CHL,Chile,19116201,26,743532,35,85
CHN,China,1439323776,153,9388211,38,61
COL,Colombia,50882891,46,1109500,31,80
COM,Comoros,869601,467,1861,20,29
COG,Congo,5518087,16,341500,19,70
COK,Cook Islands,17564,73,240,19,75
CRI,Costa Rica,5094118,100,51060,33,80
HRV,Croatia,4105267,73,55960,44,58
CUB,Cuba,11326616,106,106440,42,78
ANT,Curaçao,164093,370,444,42,89
CYP,Cyprus,1207359,131,9240,37,67
CZE,Czech Republic (Czechia),10708981,139,77240,43,74
CIV,Côte d'Ivoire,26378274,83,318000,19,51
COD,DR Congo,89561403,40,2267050,17,46
DNK,Denmark,5792202,137,42430,42,88
DJI,Djibouti,988000,43,23180,27,79
DMA,Dominica,71986,96,750,19,74
DOM,Dominican Republic,10847910,225,48320,28,85
ECU,Ecuador,17643054,71,248360,28,63
EGY,Egypt,102334404,103,995450,25,43
SLV,El Salvador,6486205,313,20720,28,73
GNQ,Equatorial Guinea,1402985,50,28050,22,73
ERI,Eritrea,3546421,35,101000,19,63
EST,Estonia,1326535,31,42390,42,68
SWZ,Eswatini,1160164,67,17200,21,30
ETH,Ethiopia,114963588,115,1000000,19,21
FRO,Faeroe Islands,48863,35,1396,19,43
FLK,Falkland Islands,3480,0,12170,19,66
FJI,Fiji,896445,49,18270,28,59
FIN,Finland,5540720,18,303890,43,86
FRA,France,65273511,119,547557,42,82
GUF,French Guiana,298682,4,82200,25,87
PYF,French Polynesia,280908,77,3660,34,64
GAB,Gabon,2225734,9,257670,23,87
GMB,Gambia,2416668,239,10120,18,59
GEO,Georgia,3989167,57,69490,38,58
DEU,Germany,83783942,240,348560,46,76
GHA,Ghana,31072940,137,227540,22,57
GIB,Gibraltar,33691,3369,10,19,57
GRC,Greece,10423054,81,128900,46,85
GRL,Greenland,56770,0,410450,19,87
GRD,Grenada,112523,331,340,32,35
GLP,Guadeloupe,400124,237,1690,44,57
GUM,Guam,168775,313,540,31,95
GTM,Guatemala,17915568,167,107160,23,52
GIN,Guinea,13132795,53,245720,18,39
GNB,Guinea-Bissau,1968001,70,28120,19,45
GUY,Guyana,786552,4,196850,27,27
HTI,Haiti,11402528,414,27560,24,57
VAT,Holy See,801,2003,0,19,57
HND,Honduras,9904607,89,111890,24,57
HKG,Hong Kong,7496981,7140,1050,45,57
HUN,Hungary,9660351,107,90530,43,72
ISL,Iceland,341243,3,100250,37,94
IND,India,1380004385,464,2973190,28,35
IDN,Indonesia,273523615,151,1811570,30,56
IRN,Iran,83992949,52,1628550,32,76
IRQ,Iraq,40222493,93,434320,21,73
IRL,Ireland,4937786,72,68890,38,63
IMN,Isle of Man,85033,149,570,19,53
ISR,Israel,8655535,400,21640,30,93
ITA,Italy,60461826,206,294140,47,69
JAM,Jamaica,2961167,273,10830,31,55
JPN,Japan,126476461,347,364555,48,92
JOR,Jordan,10203134,115,88780,24,91
KAZ,Kazakhstan,18776707,7,2699700,31,58
KEN,Kenya,53771296,94,569140,20,28
KIR,Kiribati,119449,147,810,23,57
KWT,Kuwait,4270571,240,17820,37,57
KGZ,Kyrgyzstan,6524195,34,191800,26,36
LAO,Laos,7275560,32,230800,24,36
LVA,Latvia,1886198,30,62200,44,69
LBN,Lebanon,6825445,667,10230,30,78
LSO,Lesotho,2142249,71,30360,24,31
LBR,Liberia,5057681,53,96320,19,53
LBY,Libya,6871292,4,1759540,29,78
LIE,Liechtenstein,38128,238,160,19,15
LTU,Lithuania,2722289,43,62674,45,71
LUX,Luxembourg,625978,242,2590,40,88
MAC,Macao,649335,21645,30,39,57
MDG,Madagascar,27691018,48,581795,20,39
MWI,Malawi,19129952,203,94280,18,18
MYS,Malaysia,32365999,99,328550,30,78
MDV,Maldives,540544,1802,300,30,35
MLI,Mali,20250833,17,1220190,16,44
MLT,Malta,441543,1380,320,43,93
MHL,Marshall Islands,59190,329,180,19,70
MTQ,Martinique,375265,354,1060,47,92
MRT,Mauritania,4649658,5,1030700,20,57
MUS,Mauritius,1271768,626,2030,37,41
MYT,Mayotte,272815,728,375,20,46
MEX,Mexico,128932753,66,1943950,29,84
FSM,Micronesia,115023,164,700,24,21
MDA,Moldova,4033963,123,32850,38,43
MCO,Monaco,39242,26337,1,19,57
MNG,Mongolia,3278290,2,1553560,28,67
MNE,Montenegro,628066,47,13450,39,68
MSR,Montserrat,4992,50,100,19,10
MAR,Morocco,36910560,83,446300,30,64
MOZ,Mozambique,31255435,40,786380,18,38
MMR,Myanmar,54409800,83,653290,29,31
NAM,Namibia,2540905,3,823290,22,55
NRU,Nauru,10824,541,20,19,57
NPL,Nepal,29136808,203,143350,25,21
NLD,Netherlands,17134872,508,33720,43,92
NCL,New Caledonia,285498,16,18280,34,72
NZL,New Zealand,4822233,18,263310,38,87
NIC,Nicaragua,6624554,55,120340,26,57
NER,Niger,24206644,19,1266700,15,17
NGA,Nigeria,206139589,226,910770,18,52
NIU,Niue,1626,6,260,19,46
PRK,North Korea,25778816,214,120410,35,63
MKD,North Macedonia,2083374,83,25220,39,59
MNP,Northern Mariana Islands,57559,125,460,19,88
NOR,Norway,5421241,15,365268,40,83
OMN,Oman,5106626,16,309500,31,87
PAK,Pakistan,220892340,287,770880,23,35
PLW,Palau,18094,39,460,19,57
PAN,Panama,4314767,58,74340,30,68
PNG,Papua New Guinea,8947024,20,452860,22,13
PRY,Paraguay,7132538,18,397300,26,62
PER,Peru,32971854,26,1280000,31,79
PHL,Philippines,109581078,368,298170,26,47
POL,Poland,37846611,124,306230,42,60
PRT,Portugal,10196709,111,91590,46,66
PRI,Puerto Rico,2860853,323,8870,44,57
QAT,Qatar,2881053,248,11610,32,96
ROU,Romania,19237691,84,230170,43,55
RUS,Russia,145934462,9,16376870,40,74
RWA,Rwanda,12952218,525,24670,20,18
REU,Réunion,895312,358,2500,36,100
BLM,Saint Barthelemy,9877,470,21,19,0
SHN,Saint Helena,6077,16,390,19,27
KNA,Saint Kitts & Nevis,53199,205,260,19,33
LCA,Saint Lucia,183627,301,610,34,19
MAF,Saint Martin,38666,730,53,19,0
SPM,Saint Pierre & Miquelon,5794,25,230,19,100
WSM,Samoa,198414,70,2830,22,18
SMR,San Marino,33931,566,60,19,97
STP,Sao Tome & Principe,219159,228,960,19,74
SAU,Saudi Arabia,34813871,16,2149690,32,84
SEN,Senegal,16743927,87,192530,19,49
SRB,Serbia,8737371,100,87460,42,56
SYC,Seychelles,98347,214,460,34,56
SLE,Sierra Leone,7976983,111,72180,19,43
SGP,Singapore,5850342,8358,700,42,57
MAF,Sint Maarten,42876,1261,34,19,96
SVK,Slovakia,5459642,114,48088,41,54
SVN,Slovenia,2078938,103,20140,45,55
SLB,Solomon Islands,686884,25,27990,20,23
SOM,Somalia,15893222,25,627340,17,47
ZAF,South Africa,59308690,49,1213090,28,67
KOR,South Korea,51269185,527,97230,44,82
SDN,South Sudan,11193725,18,610952,19,25
ESP,Spain,46754778,94,498800,45,80
LKA,Sri Lanka,21413249,341,62710,34,18
VCT,St. Vincent & Grenadines,110940,284,390,33,53
PSE,State of Palestine,5101414,847,6020,21,80
SDN,Sudan,43849260,25,1765048,20,35
SUR,Suriname,586632,4,156000,29,65
SWE,Sweden,10099265,25,410340,41,88
CHE,Switzerland,8654622,219,39516,43,74
SYR,Syria,17500658,95,183630,26,60
TWN,Taiwan,23816775,673,35410,42,79
TJK,Tajikistan,9537645,68,139960,22,27
TZA,Tanzania,59734218,67,885800,18,37
THA,Thailand,69799978,137,510890,40,51
TLS,Timor-Leste,1318445,89,14870,21,33
TGO,Togo,8278724,152,54390,19,43
TKL,Tokelau,1357,136,10,19,0
TON,Tonga,105695,147,720,22,24
TTO,Trinidad and Tobago,1399488,273,5130,36,52
TUN,Tunisia,11818619,76,155360,33,70
TUR,Turkey,84339067,110,769630,32,76
TKM,Turkmenistan,6031200,13,469930,27,53
TCA,Turks and Caicos,38717,41,950,19,89
TUV,Tuvalu,11792,393,30,19,62
VIR,U.S. Virgin Islands,104425,298,350,43,96
UGA,Uganda,45741007,229,199810,17,26
UKR,Ukraine,43733762,75,579320,41,69
ARE,United Arab Emirates,9890402,118,83600,33,86
GBR,United Kingdom,67886011,281,241930,40,83
USA,United States,331002651,36,9147420,38,83
URY,Uruguay,3473730,20,175020,36,96
UZB,Uzbekistan,33469203,79,425400,28,50
VUT,Vanuatu,307145,25,12190,21,24
VEN,Venezuela,28435940,32,882050,30,57
VNM,Vietnam,97338579,314,310070,32,38
WLF,Wallis & Futuna,11239,80,140,19,0
ESH,Western Sahara,597339,2,266000,28,87
YEM,Yemen,29825964,56,527970,20,38
ZMB,Zambia,18383955,25,743390,18,45
ZWE,Zimbabwe,14862924,38,386850,19,38
